| epoch  12 |    12/   17 batches |ms/batch 2461.02 |avg loss  0.16
| epoch  12 |    13/   17 batches |ms/batch 2961.33 |avg loss  0.17
| epoch  12 |    14/   17 batches |ms/batch 3039.85 |avg loss  0.15
| epoch  12 |    15/   17 batches |ms/batch 3060.95 |avg loss  0.17
| epoch  12 |    16/   17 batches |ms/batch 3098.24 |avg loss  0.16
| epoch  13 |     1/   17 batches |ms/batch 6940.75 |avg loss  0.36
| epoch  13 |     2/   17 batches |ms/batch 3477.66 |avg loss  0.14
| epoch  13 |     3/   17 batches |ms/batch 3601.18 |avg loss  0.15
| epoch  13 |     4/   17 batches |ms/batch 4266.36 |avg loss  0.17
| epoch  13 |     5/   17 batches |ms/batch 3855.79 |avg loss  0.18
| epoch  13 |     6/   17 batches |ms/batch 3650.14 |avg loss  0.17
| epoch  13 |     7/   17 batches |ms/batch 4117.75 |avg loss  0.16
| epoch  13 |     8/   17 batches |ms/batch 3545.45 |avg loss  0.14
| epoch  13 |     9/   17 batches |ms/batch 2713.72 |avg loss  0.14
| epoch  13 |    10/   17 batches |ms/batch 3008.09 |avg loss  0.13
| epoch  13 |    11/   17 batches |ms/batch 2914.13 |avg loss  0.12
| epoch  13 |    12/   17 batches |ms/batch 2972.02 |avg loss  0.11
| epoch  13 |    13/   17 batches |ms/batch 3075.34 |avg loss  0.13
| epoch  13 |    14/   17 batches |ms/batch 2632.51 |avg loss  0.12
| epoch  13 |    15/   17 batches |ms/batch 3012.66 |avg loss  0.12
| epoch  13 |    16/   17 batches |ms/batch 3041.67 |avg loss  0.12
| epoch  14 |     1/   17 batches |ms/batch 6822.06 |avg loss  0.26
| epoch  14 |     2/   17 batches |ms/batch 3977.85 |avg loss  0.12
| epoch  14 |     3/   17 batches |ms/batch 3729.19 |avg loss  0.12
| epoch  14 |     4/   17 batches |ms/batch 3910.78 |avg loss  0.14
| epoch  14 |     5/   17 batches |ms/batch 3915.06 |avg loss  0.15
| epoch  14 |     6/   17 batches |ms/batch 3742.17 |avg loss  0.14
| epoch  14 |     7/   17 batches |ms/batch 3625.78 |avg loss  0.13
| epoch  14 |     8/   17 batches |ms/batch 3410.35 |avg loss  0.11
| epoch  14 |     9/   17 batches |ms/batch 3220.30 |avg loss  0.11
| epoch  14 |    10/   17 batches |ms/batch 3082.34 |avg loss  0.09
| epoch  14 |    11/   17 batches |ms/batch 3032.53 |avg loss  0.08
| epoch  14 |    12/   17 batches |ms/batch 2462.52 |avg loss  0.09
| epoch  14 |    13/   17 batches |ms/batch 2957.20 |avg loss  0.09
| epoch  14 |    14/   17 batches |ms/batch 3041.77 |avg loss  0.09
| epoch  14 |    15/   17 batches |ms/batch 3055.33 |avg loss  0.10
| epoch  14 |    16/   17 batches |ms/batch 3101.76 |avg loss  0.09
| epoch  15 |     1/   17 batches |ms/batch 6932.72 |avg loss  0.21
| epoch  15 |     2/   17 batches |ms/batch 3469.65 |avg loss  0.09
| epoch  15 |     3/   17 batches |ms/batch 3605.81 |avg loss  0.10
| epoch  15 |     4/   17 batches |ms/batch 4273.06 |avg loss  0.12
| epoch  15 |     5/   17 batches |ms/batch 3865.76 |avg loss  0.12
| epoch  15 |     6/   17 batches |ms/batch 3650.03 |avg loss  0.12
| epoch  15 |     7/   17 batches |ms/batch 4124.18 |avg loss  0.11
| epoch  15 |     8/   17 batches |ms/batch 3540.60 |avg loss  0.09
| epoch  15 |     9/   17 batches |ms/batch 2714.96 |avg loss  0.09
| epoch  15 |    10/   17 batches |ms/batch 3009.00 |avg loss  0.07
| epoch  15 |    11/   17 batches |ms/batch 2931.73 |avg loss  0.06
| epoch  15 |    12/   17 batches |ms/batch 2980.35 |avg loss  0.07
| epoch  15 |    13/   17 batches |ms/batch 3077.20 |avg loss  0.07
| epoch  15 |    14/   17 batches |ms/batch 2635.44 |avg loss  0.07
| epoch  15 |    15/   17 batches |ms/batch 3020.11 |avg loss  0.08
| epoch  15 |    16/   17 batches |ms/batch 3036.04 |avg loss  0.08
| epoch  16 |     1/   17 batches |ms/batch 6844.68 |avg loss  0.18
| epoch  16 |     2/   17 batches |ms/batch 3983.43 |avg loss  0.07
